,Attraction Name,Description,Category,Estimated Budget,Min_Budget,Max_Budget,Sentiment_Score,State
2021,Rudraprayag,"Experience the confluence of rivers Alaknanda and Mandakini at the sacred town of Rudraprayag. Visit ancient temples, witness the natural beauty of the surroundings, and indulge in spiritual practices by the riverside.",Religious Site,Free - 100 /-,Free,100.0,0.743,Uttarakhand
2022,Chaukori,"Experience the tranquility of Chaukori nestled amidst lush tea gardens and panoramic views of the Himalayas. Enjoy stunning sunrise and sunset views, visit ancient temples, and indulge in nature walks.",Hill Station,400 /- - 700 /-,400,700.0,0.8225,Uttarakhand
2023,Khirsu,"Escape to the quaint village of Khirsu surrounded by dense oak and deodar forests. Enjoy panoramic views of the Himalayas, visit ancient temples, and indulge in nature walks amidst serene surroundings.",Hill Station,300 /- - 600 /-,300,600.0,0.7845,Uttarakhand
2024,Patal Bhuvaneshwar,"Explore the mystical underground cave temple of Patal Bhuvaneshwar dedicated to Lord Shiva. Marvel at the intricate rock formations, stalactites, and stalagmites, and experience the spiritual ambiance of the cave.",Religious Site,200 /- - 400 /-,200,400.0,0.7506,Uttarakhand
2025,Nag Tibba Trek,"Embark on a trek to the Nag Tibba peak and witness panoramic views of the Himalayas including Swargarohini, Bandarpoonch, and Kedarnath peaks. Experience the thrill of camping amidst scenic landscapes.",Trekking Destination,400 /- - 700 /-,400,700.0,0.0,Uttarakhand
2026,Baijnath Temple,Visit the ancient Baijnath Temple dedicated to Lord Shiva and witness exquisite architecture dating back to the 12th century. Experience the spiritual ambiance amidst serene surroundings and panoramic views of the Himalayas.,Religious Site,Free - 100 /-,Free,100.0,0.7184,Uttarakhand
2027,Kainchi Dham,Seek blessings at the renowned Kainchi Dham ashram dedicated to Neem Karoli Baba. Experience peace and tranquility amidst lush greenery and serene surroundings.,Religious Site,Free - 100 /-,Free,100.0,0.9413,Uttarakhand
2028,Harsil,"Experience the serene beauty of Harsil nestled amidst lush forests and the gushing Bhagirathi River. Enjoy panoramic views of snow-capped peaks, visit ancient temples, and indulge in nature walks.",Hill Station,400 /- - 700 /-,400,700.0,0.875,Uttarakhand
2029,Gwaldam Trek,Embark on a trek through scenic trails from Gwaldam to nearby viewpoints offering panoramic views of the Himalayas. Experience the tranquility of nature and witness stunning landscapes along the way.,Trekking Destination,300 /- - 600 /-,300,600.0,0.6597,Uttarakhand
2030,Bageshwar,"Explore the ancient town of Bageshwar nestled amidst the Himalayas. Visit ancient temples, witness the confluence of rivers Saryu and Gomti, and experience the spiritual ambiance of the surroundings.",Hill Station,300 /- - 600 /-,300,600.0,0.0,Uttarakhand
2031,Kedarnath Wildlife Sanctuary,"Discover the rich biodiversity of the Kedarnath Wildlife Sanctuary with its dense forests, alpine meadows, and diverse wildlife. Embark on nature walks, birdwatching, and enjoy panoramic views of the Himalayas.",Wildlife Sanctuary,300 /- - 500 /-,300,500.0,0.7783,Uttarakhand
2032,Tapovan,"Embark on a spiritual retreat to Tapovan nestled amidst the serene surroundings of the Himalayas. Practice yoga and meditation, visit ancient caves and temples, and rejuvenate your mind, body, and soul.",Spiritual Retreat,500 /- - 800 /-,500,800.0,0.5859,Uttarakhand
2033,Yoga Ashrams in Rishikesh,"Embark on a transformative journey of self-discovery with a visit to the numerous yoga ashrams in Rishikesh. Experience holistic healing, practice yoga and meditation, and immerse yourself in the spiritual ambiance of the ashrams.",Yoga & Meditation,300 /- - 600 /-,300,600.0,0.0,Uttarakhand
2034,Barkot,"Experience the scenic beauty of Barkot nestled amidst lush forests and panoramic views of the Himalayas. Visit ancient temples, enjoy nature walks, and indulge in adventure activities amidst serene surroundings.",Hill Station,300 /- - 600 /-,300,600.0,0.9062,Uttarakhand
2035,Badrinath Wildlife Sanctuary,"Explore the diverse flora and fauna of the Badrinath Wildlife Sanctuary with its dense forests, alpine meadows, and snow-capped peaks. Embark on wildlife safaris, birdwatching, and nature walks amidst pristine landscapes.",Wildlife Sanctuary,300 /- - 500 /-,300,500.0,0.0,Uttarakhand
2036,Shivling Trek,Embark on a thrilling trek to Shivling Peak and witness panoramic views of the Gangotri Glacier and surrounding Himalayan peaks. Experience the thrill of trekking amidst pristine landscapes and gushing rivers.,Trekking Destination,500 /- - 900 /-,500,900.0,0.6808,Uttarakhand
2037,Gairsain,"Discover the charming town of Gairsain nestled amidst the Garhwal Himalayas. Visit ancient temples, witness panoramic views of the Himalayas, and experience the cultural heritage of the region.",Hill Station,300 /- - 600 /-,300,600.0,0.5859,Uttarakhand
2038,Chamoli,"Experience the natural beauty and cultural heritage of Chamoli nestled amidst the Garhwal Himalayas. Visit ancient temples, witness panoramic views of snow-capped peaks, and indulge in nature walks amidst serene surroundings.",Hill Station,400 /- - 700 /-,400,700.0,0.8519,Uttarakhand
2039,Gangotri Temple,Embark on a pilgrimage to the sacred Gangotri Temple dedicated to Goddess Ganga. Witness the divine aura of the temple surrounded by snow-capped peaks and pristine beauty.,Religious Site,Free - 100 /-,Free,100.0,0.886,Uttarakhand
2040,Ranikhet,"Escape to the charming hill station of Ranikhet and soak in panoramic views of the Himalayas. Explore lush forests, visit ancient temples, and indulge in adventure activities amidst serene surroundings.",Hill Station,400 /- - 800 /-,400,800.0,0.8689,Uttarakhand
2041,Chandrashila Peak,"Embark on a trek to Chandrashila Peak and witness breathtaking views of the Himalayas including Nanda Devi, Trishul, and Chaukhamba peaks. Experience the thrill of summiting the highest point in the region.",Trekking Destination,500 /- - 900 /-,500,900.0,0.6705,Uttarakhand
2042,Kartik Swami Trek,Embark on a trek to the sacred Kartik Swami Temple dedicated to Lord Kartikeya. Trek through scenic trails surrounded by lush forests and enjoy panoramic views of the Himalayas.,Trekking Destination,300 /- - 600 /-,300,600.0,0.7351,Uttarakhand
2043,Tehri Dam,"Visit the majestic Tehri Dam, one of the tallest dams in the world, and witness panoramic views of the Tehri Lake and surrounding Himalayan peaks. Enjoy boating, water sports, and scenic walks along the dam.",Dam & Reservoir,200 /- - 400 /-,200,400.0,0.4939,Uttarakhand
2044,Hemkund Sahib Trek,Embark on a spiritual and scenic trek to the revered Hemkund Sahib Gurudwara nestled amidst the Himalayas. Trek through scenic trails surrounded by lush greenery and pristine water bodies.,Religious Site,Free - 300 /-,Free,300.0,0.5106,Uttarakhand
2045,Birahi Gali,"Embark on a scenic drive through the picturesque Birahi Gali offering panoramic views of the Himalayas. Enjoy the serene ambiance, stop at viewpoints, and capture stunning photographs amidst pristine landscapes.",Scenic Drive,Free - 100 /-,Free,100.0,0.8481,Uttarakhand
2046,Haldwani,"Experience the bustling town of Haldwani nestled amidst the foothills of the Himalayas. Explore vibrant markets, indulge in local cuisine, and visit nearby attractions such as Gaula Barrage and Moteshwar Mahadev Temple.",City & Town,200 /- - 400 /-,200,400.0,0.7351,Uttarakhand
2047,Kanvashram,"Visit the ancient Kanvashram located on the banks of the river Malini amidst serene surroundings. Experience the spiritual ambiance, visit nearby attractions such as Sahastradhara Waterfalls, and indulge in meditation and yoga.",Spiritual Site,Free - 100 /-,Free,100.0,0.7003,Uttarakhand
2048,Vasudhara Falls,Embark on a trek to the mesmerizing Vasudhara Falls surrounded by snow-capped peaks and lush greenery. Witness the cascading waters of the falls and experience the serene beauty of the Himalayas.,Waterfall,300 /- - 600 /-,300,600.0,0.7783,Uttarakhand
2049,Bheem Pul,"Visit the legendary Bheem Pul bridge built over the Saraswati River, associated with the epic Mahabharata. Experience the natural beauty of the surroundings and witness panoramic views of the Himalayas.",Bridge & Viewpoint,Free - 100 /-,Free,100.0,0.743,Uttarakhand
2050,Himalayan Viewpoint,"Enjoy panoramic views of the majestic Himalayas from various viewpoints scattered across Uttarakhand. Witness stunning sunrise and sunset views, capture breathtaking photographs, and soak in the serene ambiance of the mountains.",Viewpoint,Free - 100 /-,Free,100.0,0.8957,Uttarakhand
2051,Kaladhungi,"Explore the historic town of Kaladhungi known for its association with Jim Corbett. Visit the Corbett Museum, explore lush forests, and witness panoramic views of the surrounding landscapes.",City & Town,200 /- - 400 /-,200,400.0,0.0,Uttarakhand
2052,Binsar Wildlife Sanctuary,"Discover the rich biodiversity of the Binsar Wildlife Sanctuary with its dense forests and diverse wildlife. Embark on nature walks, birdwatching, and enjoy panoramic views of the Himalayas.",Wildlife Sanctuary,300 /- - 500 /-,300,500.0,0.7783,Uttarakhand
2053,Gateway of India,"A historic monument and iconic landmark in Mumbai, the Gateway of India offers stunning views of the Arabian Sea. Visitors can admire the grand architecture, take boat rides to nearby attractions, and enjoy street performances.",Historical Landmark,Free entry,,,0.9325,Maharastra
2054,Elephanta Caves,"A UNESCO World Heritage Site, the Elephanta Caves are a collection of ancient rock-cut caves dedicated to Lord Shiva. Visitors can explore the intricately carved sculptures, marvel at the Cave 1's main deity, and enjoy ferry rides from Mumbai.",Historical Site,₹200 - ₹1000 per person,200.0,1000.0,0.8402,Maharastra
2055,Siddhivinayak Temple,"One of the most famous Hindu temples in Mumbai, Siddhivinayak Temple is dedicated to Lord Ganesha. Visitors can attend prayers, seek blessings, and witness the grandeur of the temple's architecture and interior decorations.",Religious Site,Free entry donations welcome,,,0.872,Maharastra
2056,Marine Drive,"Also known as the Queen's Necklace, Marine Drive is a scenic promenade along the Arabian Sea in Mumbai. Visitors can enjoy leisurely walks, breathtaking sunsets, and panoramic views of the city skyline and sea.",Scenic Spot,Free entry,,,0.7351,Maharastra
2057,Haji Ali Dargah,"A revered Islamic shrine and architectural marvel, Haji Ali Dargah is located on a tiny islet in the Arabian Sea. Visitors can offer prayers, witness the dargah's stunning white domes, and experience spiritual solace amidst serene surroundings.",Religious Site,Free entry donations welcome,,,0.8934,Maharastra
2058,Sanjay Gandhi National Park,"One of the largest urban parks in the world, Sanjay Gandhi National Park offers a refreshing escape from the bustling city life of Mumbai. Visitors can explore dense forests, spot wildlife like leopards and deer, and visit the Kanheri Caves.",Nature Destination,₹50 - ₹300 per person,50.0,300.0,0.4939,Maharastra
2059,Juhu Beach,"A popular beach destination in Mumbai, Juhu Beach is known for its vibrant atmosphere, street food stalls, and stunning sunsets. Visitors can relax on the sandy shores, indulge in water sports, and enjoy horse rides along the coastline.",Beach Destination,₹100 - ₹500 per person,100.0,500.0,0.9313,Maharastra
2060,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,"Formerly known as the Prince of Wales Museum, this museum in Mumbai is renowned for its collection of art, artifacts, and sculptures. Visitors can explore exhibits on Indian history, culture, and art spanning centuries.",Museum,₹100 - ₹500 per person,100.0,500.0,0.0,Maharastra
2061,Mahalaxmi Temple,"A sacred Hindu temple dedicated to Goddess Mahalaxmi, this temple in Mumbai is visited by devotees seeking blessings and spiritual fulfillment. Visitors can attend prayers, witness religious ceremonies, and admire the temple's architecture.",Religious Site,Free entry donations welcome,,,0.8779,Maharastra
2062,Kanheri Caves,"Located within the Sanjay Gandhi National Park, the Kanheri Caves are a group of ancient rock-cut caves dating back to the 1st century BCE. Visitors can explore Buddhist sculptures, stupas, and meditation chambers amidst natural surroundings.",Historical Site,₹50 - ₹200 per person,50.0,200.0,0.3612,Maharastra
2063,Film City Mumbai,"A sprawling film studio complex in Mumbai, Film City is the hub of Bollywood film production and entertainment. Visitors can take guided tours of the studio sets, spot celebrities, and learn about the behind-the-scenes magic of filmmaking.",Entertainment,₹500 - ₹2000 per person,500.0,2000.0,0.4215,Maharastra
2064,Elephanta Island,"A picturesque island in Mumbai Harbor, Elephanta Island is home to the Elephanta Caves, a UNESCO World Heritage Site. Visitors can explore ancient cave temples, marvel at rock-cut sculptures, and enjoy panoramic views of the sea.",Island Destination,₹200 - ₹1000 per person,200.0,1000.0,0.8225,Maharastra
2065,Kamala Nehru Park,"Perched atop Malabar Hill, Kamala Nehru Park offers panoramic views of Mumbai's skyline and the Arabian Sea. Visitors can enjoy leisurely walks, relax amidst lush greenery, and capture memorable photographs of the cityscape.",Scenic Spot,Free entry,,,0.7269,Maharastra
2066,Nehru Science Centre,"A popular science museum in Mumbai, the Nehru Science Centre offers interactive exhibits, educational programs, and science demonstrations for visitors of all ages. Visitors can explore topics ranging from astronomy to robotics.",Science Museum,₹50 - ₹300 per person,50.0,300.0,0.4215,Maharastra
2067,Global Vipassana Pagoda,"Located in Gorai, the Global Vipassana Pagoda is a magnificent structure dedicated to the practice of Vipassana meditation. Visitors can explore the pagoda's tranquil surroundings, attend meditation sessions, and learn about Buddhist philosophy.",Religious Site,Free entry donations welcome,,,0.7964,Maharastra
2068,Chowpatty Beach,"A bustling beach in Mumbai, Chowpatty Beach is famous for its lively atmosphere, street food stalls, and cultural events. Visitors can enjoy horse rides, indulge in delicious snacks like bhel puri and pav bhaji, and witness local festivities.",Beach Destination,₹100 - ₹500 per person,100.0,500.0,0.9371,Maharastra
2069,Chor Bazaar,"One of the largest flea markets in Mumbai, Chor Bazaar is a treasure trove of antiques, vintage items, and unique collectibles. Visitors can bargain for goods, explore narrow lanes filled with shops, and discover hidden gems amidst the chaos.",Market,Varies based on purchases,,,-0.1779,Maharastra
2070,Jehangir Art Gallery,"A renowned art gallery in Mumbai, the Jehangir Art Gallery showcases works by Indian artists across various genres and styles. Visitors can explore art exhibitions, attend cultural events, and appreciate the diverse creativity of Indian art.",Art Gallery,₹50 - ₹200 per person,50.0,200.0,0.6486,Maharastra
2071,Sanjay Gandhi National Park,"One of the largest urban parks in the world, Sanjay Gandhi National Park offers a refreshing escape from the bustling city life of Mumbai. Visitors can explore dense forests, spot wildlife like leopards and deer, and visit the Kanheri Caves.",Nature Destination,₹50 - ₹300 per person,50.0,300.0,0.4939,Maharastra
2072,Rajabai Clock Tower,"An iconic landmark in Mumbai, the Rajabai Clock Tower is known for its Gothic architecture and intricate carvings. Visitors can admire the tower's beauty, learn about its history, and enjoy panoramic views of the city from the top.",Historical Landmark,Free entry,,,0.9153,Maharastra
2073,Khotachiwadi,"A historic village in South Mumbai, Khotachiwadi is known for its charming Portuguese-style houses, narrow lanes, and vibrant community. Visitors can take guided walks, interact with locals, and experience the old-world charm of Mumbai.",Cultural Heritage,Free entry,,,0.872,Maharastra
2074,Kala Ghoda Art Precinct,"A vibrant cultural district in South Mumbai, the Kala Ghoda Art Precinct is home to art galleries, museums, theaters, and cafes. Visitors can explore contemporary art, attend cultural events, and immerse themselves in Mumbai's creative scene.",Cultural District,Varies based on event,,,0.743,Maharastra
2075,Nehru Planetarium,"An educational and scientific institution in Mumbai, the Nehru Planetarium offers astronomy shows, stargazing sessions, and interactive exhibits on space science. Visitors can learn about the universe, galaxies, and celestial phenomena.",Science Museum,₹50 - ₹300 per person,50.0,300.0,0.0,Maharastra
2076,Bandra-Worli Sea Link,"A modern architectural marvel, the Bandra-Worli Sea Link is a cable-stayed bridge that connects Bandra in the western suburbs to Worli in South Mumbai. Visitors can drive along the bridge, admire the engineering feat, andenjoy panoramic views of the Arabian Sea and Mumbai's skyline.",Architectural Marvel,Free entry,,,0.7096,Maharastra
2077,Jijamata Udyaan (Rani Baug),"Formerly known as Victoria Gardens, Jijamata Udyaan is Mumbai's oldest zoo and botanical garden. Visitors can explore diverse flora and fauna, enjoy children's play areas, and learn about conservation efforts.",Park & Zoo,₹50 - ₹200 per person,50.0,200.0,0.6808,Maharastra
2078,Mount Mary Church,"A historic Roman Catholic church in Bandra, Mount Mary Church is dedicated to Mother Mary. Visitors can attend Mass, offer prayers, and experience the tranquility of the church's surroundings amidst stunning seaside views.",Religious Site,Free entry donations welcome,,,0.8126,Maharastra
2079,Chhatrapati Shivaji Maharaj Terminus,"A UNESCO World Heritage Site, Chhatrapati Shivaji Maharaj Terminus (CSMT) is a historic railway station known for its Victorian Gothic architecture and bustling atmosphere. Visitors can marvel at the intricate details of the station's facade and interior.",Historical Landmark,Free entry,,,0.5267,Maharastra
2080,Nehru Centre,"A cultural complex in Mumbai, the Nehru Centre hosts art exhibitions, science workshops, and cultural events throughout the year. Visitors can explore interactive exhibits, attend lectures, and engage in educational activities for all ages.",Cultural Center,Varies based on event,,,0.34,Maharastra
2081,Worli Sea Face,"A scenic promenade along the Arabian Sea, Worli Sea Face offers stunning views of the sea and Mumbai's skyline. Visitors can enjoy leisurely walks, watch the sunset, and relax amidst the tranquil ambiance of the coastline.",Scenic Spot,Free entry,,,0.836,Maharastra
2082,Knesset Eliyahoo Synagogue,"Located in the heart of Mumbai's bustling Colaba neighborhood, the Knesset Eliyahoo Synagogue is one of the city's oldest and most beautiful synagogues. Visitors can admire the synagogue's architecture, learn about Jewish culture, and attend prayer services.",Religious Site,Free entry,,,0.807,Maharastra
2083,Global Pagoda Vipassana Meditation Centre,"Set amidst tranquil surroundings in Gorai, the Global Pagoda Vipassana Meditation Centre is dedicated to the practice of Vipassana meditation. Visitors can participate in meditation courses, explore the pagoda's architecture, and experience inner peace.",Religious Site,Free entry donations welcome,,,0.7717,Maharastra
2084,Chor Bazaar,"One of the largest flea markets in Mumbai, Chor Bazaar is a treasure trove of antiques, vintage items, and unique collectibles. Visitors can bargain for goods, explore narrow lanes filled with shops, and discover hidden gems amidst the chaos.",Market,Varies based on purchases,,,-0.1779,Maharastra
2085,Flora Fountain,"A historic fountain located in the bustling Fort area of Mumbai, Flora Fountain is a popular landmark known for its grand architecture and ornate design. Visitors can admire the fountain's beauty, take photographs, and soak in the vibrant atmosphere.",Historical Landmark,Free entry,,,0.9468,Maharastra
2086,Nehru Science Centre,"A popular science museum in Mumbai, the Nehru Science Centre offers interactive exhibits, educational programs, and science demonstrations for visitors of all ages. Visitors can explore topics ranging from astronomy to robotics.",Science Museum,₹50 - ₹300 per person,50.0,300.0,0.4215,Maharastra
2087,Khotachiwadi,"A historic village in South Mumbai, Khotachiwadi is known for its charming Portuguese-style houses, narrow lanes, and vibrant community. Visitors can take guided walks, interact with locals, and experience the old-world charm of Mumbai.",Cultural Heritage,Free entry,,,0.872,Maharastra
2088,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,"Formerly known as the Prince of Wales Museum, this museum in Mumbai is renowned for its collection of art, artifacts, and sculptures. Visitors can explore exhibits on Indian history, culture, and art spanning centuries.",Museum,₹100 - ₹500 per person,100.0,500.0,0.0,Maharastra
2089,Asiatic Society of Mumbai Library,"Situated in the historic Fort area of Mumbai, the Asiatic Society of Mumbai Library is a treasure trove of rare books, manuscripts, and artifacts. Visitors can explore the library's vast collection and learn about Mumbai's rich cultural heritage.",Library,Free entry,,,0.7003,Maharastra
2090,Carter Road Promenade,"A popular seafront promenade in Bandra, Carter Road Promenade offers stunning views of the Arabian Sea and Bandra Bandstand. Visitors can enjoy leisurely walks, indulge in street food, and relax amidst the cool sea breeze.",Scenic Spot,Free entry,,,0.9153,Maharastra
2091,Babulnath Temple,"A revered Hindu temple dedicated to Lord Shiva, Babulnath Temple is located atop Malabar Hill in South Mumbai. Visitors can climb the steps to the temple, attend prayers, and experience the spiritual ambiance amidst serene surroundings.",Religious Site,Free entry donations welcome,,,0.8519,Maharastra
2092,Juhu Beach,"A popular beach destination in Mumbai, Juhu Beach is known for its vibrant atmosphere, street food stalls, and stunning sunsets. Visitors can relax on the sandy shores, indulge in water sports, and enjoy horse rides along the coastline.",Beach Destination,₹100 - ₹500 per person,100.0,500.0,0.9313,Maharastra
2093,Dr. Bhau Daji Lad Museum,"Formerly known as the Victoria and Albert Museum, the Dr. Bhau Daji Lad Museum is the oldest museum in Mumbai. Visitors can explore exhibits on Mumbai's history, culture, and craftsmanship, including decorative arts and textiles.",Museum,₹100 - ₹500 per person,100.0,500.0,0.0,Maharastra
2094,Sanjay Gandhi National Park,"One of the largest urban parks in the world, Sanjay Gandhi National Park offers a refreshing escape from the bustling city life of Mumbai. Visitors can explore dense forests, spot wildlife like leopards and deer, and visit the Kanheri Caves.",Nature Destination,₹50 - ₹300 per person,50.0,300.0,0.4939,Maharastra
2095,Gateway of India,"A historic monument and iconic landmark in Mumbai, the Gateway of India offers stunning views of the Arabian Sea. Visitors can admire the grand architecture, take boat rides to nearby attractions, and enjoy street performances.",Historical Landmark,Free entry,,,0.9325,Maharastra
2096,Haji Ali Dargah,"A revered Islamic shrine and architectural marvel, Haji Ali Dargah is located on a tiny islet in the Arabian Sea. Visitors can offer prayers, witness the dargah's stunning white domes, and experience spiritual solace amidst serene surroundings.",Religious Site,Free entry donations welcome,,,0.8934,Maharastra
2097,Sanjay Gandhi National Park,"One of the largest urban parks in the world, Sanjay Gandhi National Park offers a refreshing escape from the bustling city life of Mumbai. Visitors can explore dense forests, spot wildlife like leopards and deer, and visit the Kanheri Caves.",Nature Destination,₹50 - ₹300 per person,50.0,300.0,0.4939,Maharastra
2098,Juhu Beach,"A popular beach destination in Mumbai, Juhu Beach is known for its vibrant atmosphere, street food stalls, and stunning sunsets. Visitors can relax on the sandy shores, indulge in water sports, and enjoy horse rides along the coastline.",Beach Destination,₹100 - ₹500 per person,100.0,500.0,0.9313,Maharastra
2099,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,"Formerly known as the Prince of Wales Museum, this museum in Mumbai is renowned for its collection of art, artifacts, and sculptures. Visitors can explore exhibits on Indian history, culture, and art spanning centuries.",Museum,₹100 - ₹500 per person,100.0,500.0,0.0,Maharastra
2100,Film City Mumbai,"A sprawling film studio complex in Mumbai, Film City is the hub of Bollywood film production and entertainment. Visitors can take guided tours of the studio sets, spot celebrities, and learn about the behind-the-scenes magic of filmmaking.",Entertainment,₹500 - ₹2000 per person,500.0,2000.0,0.4215,Maharastra
2101,Elephanta Island,"A picturesque island in Mumbai Harbor, Elephanta Island is home to the Elephanta Caves, a UNESCO World Heritage Site. Visitors can explore ancient cave temples, marvel at rock-cut sculptures, and enjoy panoramic views of the sea.",Island Destination,₹200 - ₹1000 per person,200.0,1000.0,0.8225,Maharastra
2102,Kamala Nehru Park,"Perched atop Malabar Hill, Kamala Nehru Park offers panoramic views of Mumbai's skyline and the Arabian Sea. Visitors can enjoy leisurely walks, relax amidst lush greenery, and capture memorable photographs of the cityscape.",Scenic Spot,Free entry,,,0.7269,Maharastra
2103,Nehru Science Centre,"A popular science museum in Mumbai, the Nehru Science Centre offers interactive exhibits, educational programs, and science demonstrations for visitors of all ages. Visitors can explore topics ranging from astronomy to robotics.",Science Museum,₹50 - ₹300 per person,50.0,300.0,0.4215,Maharastra
2104,Global Vipassana Pagoda,"Located in Gorai, the Global Vipassana Pagoda is a magnificent structure dedicated to the practice of Vipassana meditation. Visitors can explore the pagoda's tranquil surroundings, attend meditation sessions, and learn about Buddhist philosophy.",Religious Site,Free entry donations welcome,,,0.7964,Maharastra
2105,Chor Bazaar,"One of the largest flea markets in Mumbai, Chor Bazaar is a treasure trove of antiques, vintage items, and unique collectibles. Visitors can bargain for goods, explore narrow lanes filled with shops, and discover hidden gems amidst the chaos.",Market,Varies based on purchases,,,-0.1779,Maharastra
2106,Jehangir Art Gallery,"A renowned art gallery in Mumbai, the Jehangir Art Gallery showcases works by Indian artists across various genres and styles. Visitors can explore art exhibitions, attend cultural events, and appreciate the diverse creativity of Indian art.",Art Gallery,₹50 - ₹200 per person,50.0,200.0,0.6486,Maharastra
2107,Sanjay Gandhi National Park,"One of the largest urban parks in the world, Sanjay Gandhi National Park offers a refreshing escape from the bustling city life of Mumbai. Visitors can explore dense forests, spot wildlife like leopards and deer, and visit the Kanheri Caves.",Nature Destination,₹50 - ₹300 per person,50.0,300.0,0.4939,Maharastra
2108,Rajabai Clock Tower,"An iconic landmark in Mumbai, the Rajabai Clock Tower is known for its Gothic architecture and intricate carvings. Visitors can admire the tower's beauty, learn about its history, and enjoy panoramic views of the city from the top.",Historical Landmark,Free entry,,,0.9153,Maharastra
2109,Khotachiwadi,"A historic village in South Mumbai, Khotachiwadi is known for its charming Portuguese-style houses, narrow lanes, and vibrant community. Visitors can take guided walks, interact with locals, and experience the old-world charm of Mumbai.",Cultural Heritage,Free entry,,,0.872,Maharastra
2110,Kala Ghoda Art Precinct,"A vibrant cultural district in South Mumbai, the Kala Ghoda Art Precinct is home to art galleries, museums, theaters, and cafes. Visitors can explore contemporary art, attend cultural events, and immerse themselves in Mumbai's creative scene.",Cultural District,Varies based on event,,,0.743,Maharastra
2111,Nehru Planetarium,"An educational and scientific institution in Mumbai, the Nehru Planetarium offers astronomy shows, stargazing sessions, and interactive exhibits on space science. Visitors can learn about the universe, galaxies, and celestial phenomena.",Science Museum,₹50 - ₹300 per person,50.0,300.0,0.0,Maharastra
2112,Bandra-Worli Sea Link,"A modern architectural marvel, the Bandra-Worli Sea Link is a cable-stayed bridge that connects Bandra in the western suburbs to Worli in South Mumbai. Visitors can drive along the bridge, admire the engineering feat, and enjoy panoramic views of the Arabian Sea and Mumbai's skyline.",Architectural Marvel,Free entry,,,0.8442,Maharastra
2113,Jijamata Udyaan (Rani Baug),"Formerly known as Victoria Gardens, Jijamata Udyaan is Mumbai's oldest zoo and botanical garden. Visitors can explore diverse flora and fauna, enjoy children's play areas, and learn about conservation efforts.",Park & Zoo,₹50 - ₹200 per person,50.0,200.0,0.6808,Maharastra
2114,Mount Mary Church,"A historic Roman Catholic church in Bandra, Mount Mary Church is dedicated to Mother Mary. Visitors can attend Mass, offer prayers, and experience the tranquility of the church's surroundings amidst stunning seaside views.",Religious Site,Free entry donations welcome,,,0.8126,Maharastra
2115,Chhatrapati Shivaji Maharaj Terminus,"A UNESCO World Heritage Site, Chhatrapati Shivaji Maharaj Terminus (CSMT) is a historic railway station known for its Victorian Gothic architecture and bustling atmosphere. Visitors can marvel at the intricate details of the station's facade and interior.",Historical Landmark,Free entry,,,0.5267,Maharastra
2116,Nehru Centre,"A cultural complex in Mumbai, the Nehru Centre hosts art exhibitions, science workshops, and cultural events throughout the year. Visitors can explore interactive exhibits, attend lectures, and engage in educational activities for all ages.",Cultural Center,Varies based on event,,,0.34,Maharastra
2117,Worli Sea Face,"A scenic promenade along the Arabian Sea, Worli Sea Face offers stunning views of the sea and Mumbai's skyline. Visitors can enjoy leisurely walks, watch the sunset, and relax amidst the tranquil ambiance of the coastline.",Scenic Spot,Free entry,,,0.836,Maharastra
2118,Knesset Eliyahoo Synagogue,"Located in the heart of Mumbai's bustling Colaba neighborhood, the Knesset Eliyahoo Synagogue is one of the city's oldest and most beautiful synagogues. Visitors can admire the synagogue's architecture, learn about Jewish culture, and attend prayer services.",Religious Site,Free entry,,,0.807,Maharastra
2119,Global Pagoda Vipassana Meditation Centre,"Set amidst tranquil surroundings in Gorai, the Global Pagoda Vipassana Meditation Centre is dedicated to the practice of Vipassana meditation. Visitors can participate in meditation courses, explore the pagoda's architecture, and experience inner peace.",Religious Site,Free entry donations welcome,,,0.7717,Maharastra
2120,Chor Bazaar,"One of the largest flea markets in Mumbai, Chor Bazaar is a treasure trove of antiques, vintage items, and unique collectibles. Visitors can bargain for goods, explore narrow lanes filled with shops, and discover hidden gems amidst the chaos.",Market,Varies based on purchases,,,-0.1779,Maharastra
2121,Flora Fountain,"A historic fountain located in the bustling Fort area of Mumbai, Flora Fountain is a popular landmark known for its grand architecture and ornate design. Visitors can admire the fountain's beauty, take photographs, and soak in the vibrant atmosphere.",Historical Landmark,Free entry,,,0.9468,Maharastra
2122,Nehru Science Centre,"A popular science museum in Mumbai, the Nehru Science Centre offers interactive exhibits, educational programs, and science demonstrations for visitors of all ages. Visitors can explore topics ranging from astronomy to robotics.",Science Museum,₹50 - ₹300 per person,50.0,300.0,0.4215,Maharastra
2123,Khotachiwadi,"A historic village in South Mumbai, Khotachiwadi is known for its charming Portuguese-style houses, narrow lanes, and vibrant community.Visitors can take guided walks, interact with locals, and experience the old-world charm of Mumbai.",Cultural Heritage,Free entry,,,0.872,Maharastra
2124,Jahangir Art Gallery,"A renowned art gallery in Mumbai, the Jahangir Art Gallery showcases works by Indian artists across various genres and styles. Visitors can explore art exhibitions, attend cultural events, and appreciate the diverse creativity of Indian art.",Art Gallery,₹50 - ₹200 per person,50.0,200.0,0.6486,Maharastra
